Employee #,Last Name,First Name,Date,Time-in,Time-out,"Hours 
Worked",Week
10005,Romualdez,Alice,09-Jul-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,09-Jul-22,8:00,17:00,8.00,
10007,Farala,Martha,09-Jul-22,8:00,17:00,8.00,
10008,Martinez,Leila,09-Jul-22,8:00,17:00,8.00,
10009,San Jose,Allison ,09-Jul-22,0:00,0:00,fixed,
10010,Rosario,Cydney ,09-Jul-22,8:00,17:00,8.00,
10011,Lopez,Josie ,09-Jul-22,8:00,17:00,8.00,
10012,De Leon,Selena ,09-Jul-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,09-Jul-22,8:00,17:00,8.00,
10014,Bautista,Mark ,09-Jul-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,09-Jul-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,09-Jul-22,8:00,17:00,8.00,
10017,Santos,Vella ,09-Jul-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,09-Jul-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,09-Jul-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,09-Jul-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,09-Jul-22,8:00,17:00,8.00,
10022,Villegas,Lizeth ,09-Jul-22,8:00,17:00,8.00,
10023,Ramos,Carol ,09-Jul-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,09-Jul-22,8:00,17:00,8.00,
10025,Aguilar,Delia ,09-Jul-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,09-Aug-22,8:00,17:00,8.00,
10002,Mata,Christian,09-Aug-22,8:00,17:00,8.00,
10003,San Jose,Brad ,09-Aug-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,09-Aug-22,8:00,17:00,8.00,
10005,Romualdez,Alice,09-Aug-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,09-Aug-22,8:00,17:00,8.00,
10007,Farala,Martha,09-Aug-22,8:00,17:00,8.00,
10008,Martinez,Leila,09-Aug-22,8:00,17:00,8.00,
10009,San Jose,Allison ,09-Aug-22,0:00,0:00,fixed,
10010,Rosario,Cydney ,09-Aug-22,8:00,17:00,8.00,
10011,Lopez,Josie ,09-Aug-22,8:00,17:00,8.00,
10012,De Leon,Selena ,09-Aug-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,09-Aug-22,10:00,17:00,6.00,
10014,Bautista,Mark ,09-Aug-22,10:00,17:00,6.00,
10015,Lazaro,Darlene ,09-Aug-22,10:00,17:00,6.00,
10016,Delos Santos,Kolby ,09-Aug-22,10:00,17:00,6.00,
10017,Santos,Vella ,09-Aug-22,10:00,17:00,6.00,
10018,Del Rosario,Tomas,09-Aug-22,10:00,17:00,6.00,
10019,Tolentino,Jacklyn ,09-Aug-22,10:00,17:00,6.00,
10020,Gutierrez,Percival ,09-Aug-22,10:00,17:00,6.00,
10021,Manalaysay,Garfield ,09-Aug-22,10:00,17:00,6.00,
10022,Villegas,Lizeth ,09-Aug-22,10:00,17:00,6.00,
10023,Ramos,Carol ,09-Aug-22,10:00,17:00,6.00,
10024,Maceda,Emelia ,09-Aug-22,10:00,17:00,6.00,
10025,Aguilar,Delia ,09-Aug-22,10:00,17:00,6.00,
10001,Crisostomo,Jose,09-Sep-22,8:00,17:00,8.00,
10002,Mata,Christian,09-Sep-22,8:00,17:00,8.00,
10003,San Jose,Brad ,09-Sep-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,09-Sep-22,8:00,17:00,8.00,
10005,Romualdez,Alice,09-Sep-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,09-Sep-22,8:00,17:00,8.00,
10007,Farala,Martha,09-Sep-22,8:00,17:00,8.00,
10008,Martinez,Leila,09-Sep-22,8:00,17:00,8.00,
10009,San Jose,Allison ,09-Sep-22,0:00,0:00,fixed,
10010,Rosario,Cydney ,09-Sep-22,8:00,17:00,8.00,
10011,Lopez,Josie ,09-Sep-22,8:00,17:00,8.00,
10012,De Leon,Selena ,09-Sep-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,09-Sep-22,8:00,17:00,8.00,
10014,Bautista,Mark ,09-Sep-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,09-Sep-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,09-Sep-22,8:00,17:00,8.00,
10017,Santos,Vella ,09-Sep-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,09-Sep-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,09-Sep-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,09-Sep-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,09-Sep-22,8:00,17:00,8.00,
10022,Villegas,Lizeth ,09-Sep-22,8:00,17:00,8.00,
10023,Ramos,Carol ,09-Sep-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,09-Sep-22,8:00,17:00,8.00,
10025,Aguilar,Delia ,09-Sep-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,09-Dec-22,8:00,17:00,8.00,
10002,Mata,Christian,09-Dec-22,8:00,17:00,8.00,
10003,San Jose,Brad ,09-Dec-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,09-Dec-22,8:00,17:00,8.00,
10005,Romualdez,Alice,09-Dec-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,09-Dec-22,8:00,17:00,8.00,
10007,Farala,Martha,09-Dec-22,8:27,17:00,7.55,
10008,Martinez,Leila,09-Dec-22,8:01,17:00,7.98,
10009,San Jose,Allison ,09-Dec-22,0:00,0:00,fixed,
10010,Rosario,Cydney ,09-Dec-22,8:00,17:00,8.00,
10011,Lopez,Josie ,09-Dec-22,8:00,17:00,8.00,
10012,De Leon,Selena ,09-Dec-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,09-Dec-22,8:00,17:00,8.00,
10014,Bautista,Mark ,09-Dec-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,09-Dec-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,09-Dec-22,8:28,17:00,7.53,
10017,Santos,Vella ,09-Dec-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,09-Dec-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,09-Dec-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,09-Dec-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,09-Dec-22,8:11,17:00,7.82,
10022,Villegas,Lizeth ,09-Dec-22,8:00,17:00,8.00,
10023,Ramos,Carol ,09-Dec-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,09-Dec-22,8:21,17:00,7.65,
10025,Aguilar,Delia ,09-Dec-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,13-Sep-22,8:00,17:00,8.00,
10002,Mata,Christian,13-Sep-22,8:00,17:00,8.00,
10003,San Jose,Brad ,13-Sep-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,13-Sep-22,8:00,17:00,8.00,
10005,Romualdez,Alice,13-Sep-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,13-Sep-22,8:00,17:00,8.00,
10007,Farala,Martha,13-Sep-22,8:00,17:00,8.00,
10008,Martinez,Leila,13-Sep-22,8:00,17:00,8.00,
10009,San Jose,Allison ,13-Sep-22,8:00,17:00,8.00,
10010,Rosario,Cydney ,13-Sep-22,8:00,17:00,8.00,
10011,Lopez,Josie ,13-Sep-22,8:00,17:00,8.00,
10012,De Leon,Selena ,13-Sep-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,13-Sep-22,8:00,17:00,8.00,
10014,Bautista,Mark ,13-Sep-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,13-Sep-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,13-Sep-22,8:00,17:00,8.00,
10017,Santos,Vella ,13-Sep-22,0:00,0:00,fixed,
10018,Del Rosario,Tomas,13-Sep-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,13-Sep-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,13-Sep-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,13-Sep-22,8:00,17:00,8.00,
10022,Villegas,Lizeth ,13-Sep-22,8:00,17:00,8.00,
10023,Ramos,Carol ,13-Sep-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,13-Sep-22,8:00,17:00,8.00,
10025,Aguilar,Delia ,13-Sep-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,14-Sep-22,8:00,17:00,8.00,
10002,Mata,Christian,14-Sep-22,8:00,17:00,8.00,
10003,San Jose,Brad ,14-Sep-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,14-Sep-22,8:00,17:00,8.00,
10005,Romualdez,Alice,14-Sep-22,8:15,17:00,7.75,
10006,Atienza,Rosie ,14-Sep-22,8:00,17:00,8.00,
10007,Farala,Martha,14-Sep-22,8:00,17:00,8.00,
10008,Martinez,Leila,14-Sep-22,8:00,17:00,8.00,
10009,San Jose,Allison ,14-Sep-22,8:00,17:00,8.00,
10010,Rosario,Cydney ,14-Sep-22,8:00,17:00,8.00,
10011,Lopez,Josie ,14-Sep-22,10:30,17:00,5.50,
10012,De Leon,Selena ,14-Sep-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,14-Sep-22,8:00,17:00,8.00,
10014,Bautista,Mark ,14-Sep-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,14-Sep-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,14-Sep-22,8:00,17:00,8.00,
10017,Santos,Vella ,14-Sep-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,14-Sep-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,14-Sep-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,14-Sep-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,14-Sep-22,13:00,17:00,3.00,
10022,Villegas,Lizeth ,14-Sep-22,8:00,17:00,8.00,
10023,Ramos,Carol ,14-Sep-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,14-Sep-22,8:00,17:00,8.00,
10025,Aguilar,Delia ,14-Sep-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,15-Sep-22,8:00,17:00,8.00,
10002,Mata,Christian,15-Sep-22,8:00,17:00,8.00,
10003,San Jose,Brad ,15-Sep-22,11:30,17:00,4.50,
10004,Salcedo,Anthony,15-Sep-22,8:00,17:00,8.00,
10005,Romualdez,Alice,15-Sep-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,15-Sep-22,8:00,17:00,8.00,
10007,Farala,Martha,15-Sep-22,8:00,17:00,8.00,
10008,Martinez,Leila,15-Sep-22,8:10,17:00,7.83,
10009,San Jose,Allison ,15-Sep-22,8:00,17:00,8.00,
10010,Rosario,Cydney ,15-Sep-22,8:00,17:00,8.00,
10011,Lopez,Josie ,15-Sep-22,8:00,17:00,8.00,
10012,De Leon,Selena ,15-Sep-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,15-Sep-22,8:00,17:00,8.00,
10014,Bautista,Mark ,15-Sep-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,15-Sep-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,15-Sep-22,8:00,17:00,8.00,
10017,Santos,Vella ,15-Sep-22,8:05,17:00,7.92,
10018,Del Rosario,Tomas,15-Sep-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,15-Sep-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,15-Sep-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,15-Sep-22,8:00,17:00,8.00,
10022,Villegas,Lizeth ,15-Sep-22,8:00,17:00,8.00,
10023,Ramos,Carol ,15-Sep-22,9:00,17:00,7.00,
10024,Maceda,Emelia ,15-Sep-22,0:00,0:00,fixed,
10025,Aguilar,Delia ,15-Sep-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,16-Sep-22,8:00,17:00,8.00,
10002,Mata,Christian,16-Sep-22,8:00,17:00,8.00,
10003,San Jose,Brad ,16-Sep-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,16-Sep-22,8:00,17:00,8.00,
10005,Romualdez,Alice,16-Sep-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,16-Sep-22,8:00,17:00,8.00,
10007,Farala,Martha,16-Sep-22,8:00,17:00,8.00,
10008,Martinez,Leila,16-Sep-22,8:00,17:00,8.00,
10009,San Jose,Allison ,16-Sep-22,8:00,17:00,8.00,
10010,Rosario,Cydney ,16-Sep-22,8:00,17:00,8.00,
10011,Lopez,Josie ,16-Sep-22,8:00,17:00,8.00,
10012,De Leon,Selena ,16-Sep-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,16-Sep-22,8:00,17:00,8.00,
10014,Bautista,Mark ,16-Sep-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,16-Sep-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,16-Sep-22,8:00,17:00,8.00,
10017,Santos,Vella ,16-Sep-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,16-Sep-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,16-Sep-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,16-Sep-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,16-Sep-22,8:00,17:00,8.00,
10022,Villegas,Lizeth ,16-Sep-22,8:00,17:00,8.00,
10023,Ramos,Carol ,16-Sep-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,16-Sep-22,8:00,17:00,8.00,
10025,Aguilar,Delia ,16-Sep-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,19-Sep-22,8:00,17:00,8.00,
10002,Mata,Christian,19-Sep-22,8:00,17:00,8.00,
10003,San Jose,Brad ,19-Sep-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,19-Sep-22,8:00,17:00,8.00,
10005,Romualdez,Alice,19-Sep-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,19-Sep-22,8:00,17:00,8.00,
10007,Farala,Martha,19-Sep-22,8:00,17:00,8.00,
10008,Martinez,Leila,19-Sep-22,8:00,17:00,8.00,
10009,San Jose,Allison ,19-Sep-22,8:00,17:00,8.00,
10010,Rosario,Cydney ,19-Sep-22,8:00,17:00,8.00,
10011,Lopez,Josie ,19-Sep-22,8:00,17:00,8.00,
10012,De Leon,Selena ,19-Sep-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,19-Sep-22,10:00,17:00,6.00,
10014,Bautista,Mark ,19-Sep-22,10:00,17:00,6.00,
10015,Lazaro,Darlene ,19-Sep-22,10:00,17:00,6.00,
10016,Delos Santos,Kolby ,19-Sep-22,10:00,17:00,6.00,
10017,Santos,Vella ,19-Sep-22,0:00,0:00,fixed,
10018,Del Rosario,Tomas,19-Sep-22,10:00,17:00,6.00,
10019,Tolentino,Jacklyn ,19-Sep-22,10:00,17:00,6.00,
10020,Gutierrez,Percival ,19-Sep-22,10:00,17:00,6.00,
10021,Manalaysay,Garfield ,19-Sep-22,10:00,17:00,6.00,
10022,Villegas,Lizeth ,19-Sep-22,10:00,17:00,6.00,
10023,Ramos,Carol ,19-Sep-22,10:00,17:00,6.00,
10024,Maceda,Emelia ,19-Sep-22,10:00,17:00,6.00,
10025,Aguilar,Delia ,19-Sep-22,10:00,17:00,6.00,
10001,Crisostomo,Jose,20-Sep-22,8:00,17:00,8.00,
10002,Mata,Christian,20-Sep-22,8:00,17:00,8.00,
10003,San Jose,Brad ,20-Sep-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,20-Sep-22,8:00,17:00,8.00,
10005,Romualdez,Alice,20-Sep-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,20-Sep-22,8:00,17:00,8.00,
10007,Farala,Martha,20-Sep-22,8:00,17:00,8.00,
10008,Martinez,Leila,20-Sep-22,8:00,17:00,8.00,
10009,San Jose,Allison ,20-Sep-22,8:00,17:00,8.00,
10010,Rosario,Cydney ,20-Sep-22,8:00,17:00,8.00,
10011,Lopez,Josie ,20-Sep-22,8:00,17:00,8.00,
10012,De Leon,Selena ,20-Sep-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,20-Sep-22,8:00,17:00,8.00,
10014,Bautista,Mark ,20-Sep-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,20-Sep-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,20-Sep-22,8:00,17:00,8.00,
10017,Santos,Vella ,20-Sep-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,20-Sep-22,0:00,0:00,fixed,
10019,Tolentino,Jacklyn ,20-Sep-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,20-Sep-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,20-Sep-22,8:00,17:00,8.00,
10022,Villegas,Lizeth ,20-Sep-22,8:00,17:00,8.00,
10023,Ramos,Carol ,20-Sep-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,20-Sep-22,8:00,17:00,8.00,
10025,Aguilar,Delia ,20-Sep-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,21-Sep-22,8:00,17:00,8.00,
10002,Mata,Christian,21-Sep-22,8:00,17:00,8.00,
10003,San Jose,Brad ,21-Sep-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,21-Sep-22,8:00,17:00,8.00,
10005,Romualdez,Alice,21-Sep-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,21-Sep-22,8:00,17:00,8.00,
10007,Farala,Martha,21-Sep-22,8:27,17:00,7.55,
10008,Martinez,Leila,21-Sep-22,8:01,17:00,7.98,
10009,San Jose,Allison ,21-Sep-22,8:05,17:00,7.92,
10010,Rosario,Cydney ,21-Sep-22,8:00,17:00,8.00,
10011,Lopez,Josie ,21-Sep-22,8:00,17:00,8.00,
10012,De Leon,Selena ,21-Sep-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,21-Sep-22,8:00,17:00,8.00,
10014,Bautista,Mark ,21-Sep-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,21-Sep-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,21-Sep-22,8:28,17:00,7.53,
10017,Santos,Vella ,21-Sep-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,21-Sep-22,0:00,0:00,fixed,
10019,Tolentino,Jacklyn ,21-Sep-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,21-Sep-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,21-Sep-22,8:11,17:00,7.82,
10022,Villegas,Lizeth ,21-Sep-22,8:00,17:00,8.00,
10023,Ramos,Carol ,21-Sep-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,21-Sep-22,8:21,17:00,7.65,
10025,Aguilar,Delia ,21-Sep-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,22-Sep-22,8:00,17:00,8.00,
10002,Mata,Christian,22-Sep-22,8:00,17:00,8.00,
10003,San Jose,Brad ,22-Sep-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,22-Sep-22,8:00,17:00,8.00,
10005,Romualdez,Alice,22-Sep-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,22-Sep-22,8:00,17:00,8.00,
10007,Farala,Martha,22-Sep-22,8:00,17:00,8.00,
10008,Martinez,Leila,22-Sep-22,8:00,17:00,8.00,
10009,San Jose,Allison ,22-Sep-22,8:00,17:00,8.00,
10010,Rosario,Cydney ,22-Sep-22,8:00,17:00,8.00,
10011,Lopez,Josie ,22-Sep-22,8:00,17:00,8.00,
10012,De Leon,Selena ,22-Sep-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,22-Sep-22,8:00,17:00,8.00,
10014,Bautista,Mark ,22-Sep-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,22-Sep-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,22-Sep-22,8:00,17:00,8.00,
10017,Santos,Vella ,22-Sep-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,22-Sep-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,22-Sep-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,22-Sep-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,22-Sep-22,8:00,17:00,8.00,
10022,Villegas,Lizeth ,22-Sep-22,8:00,17:00,8.00,
10023,Ramos,Carol ,22-Sep-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,22-Sep-22,8:00,17:00,8.00,
10025,Aguilar,Delia ,22-Sep-22,8:00,17:00,8.00,
